country,iso3,population,areaSqKm,popDensity,roadsMappedKm,geofabrikExtract,popPerExtract,areaPerExtract,buildingsMapped,numberHotTasks
Macedonia ,MKD,2050554,25333,80.94,17937.35617,13.8,148590.8696,1835.724638,16692,0
Madagascar ,MDG,18595469,587040,31.68,60668.417,35.9,517979.6379,16352.08914,211481,38
Malawi ,MWI,13013926,118480,109.84,37427.81318,0,0,0,162013,23
Malaysia ,MYS,24385858,329750,73.95,101146.7194,0,0,0,16942,1
"Malaysia, Singapore and Brunel",0,29257452,336213,87.02,109325.8394,35.5,824153.5775,9470.788732,69480,0
Maldives ,MDV,359008,300,1196.69,1039.664876,0.93,386030.1075,322.5806452,4691,0
Mali ,MLI,11716829,1240000,9.45,144274.8269,32.8,357220.3963,37804.87805,267402,33
Malta ,MLT,400214,316,1266.5,3238.500934,3,133404.6667,105.3333333,714,0
Marshall Islands ,MHL,60422,11854,5.1,264.3234644,0,0,0,0,0
Martinique ,MTQ,436131,1100,396.48,3558.838909,0,0,0,255106,0
Mauritania ,MRT,3177388,1030700,3.08,18038.27934,0,0,0,47186,3
Mauritius ,MUS,1240827,2040,608.25,3898.299191,0,0,0,2174,0
Mayotte ,MYT,201234,374,538.06,799.1306879,0,0,0,72555,0
Mexico ,MEX,107449525,1972550,54.47,543619.9601,0,0,0,180371,3
"Micronesia, Fed. St. ",FSM,108004,702,153.85,626.895259,0,0,0,8522,2
Moldova ,MDA,4466706,33843,131.98,49745.78185,22.3,200300.7175,1517.623318,170083,0
Monaco ,MCO,32543,2,16271.5,29.50444309,0.31,104977.4194,6.451612903,1061,0
Mongolia ,MNG,2832224,1564116,1.81,80519.08857,11.9,238002.0168,131438.3193,69279,5
Montenegro,MNE,676872,13812,49.01,15242.8493,13.3,50892.63158,1038.496241,55318,0
Montserrat ,MSR,9439,102,92.54,178.709827,0,0,0,1929,0
Morocco ,MAR,33241259,446550,74.44,166154.3486,74,449206.2027,6034.459459,129848,0
Mozambique ,MOZ,19686505,801590,24.56,84620.53368,0,0,0,1925864,24
Namibia ,NAM,2044147,825418,2.48,101177.0818,13.8,148126.5942,59812.89855,53322,7
Nauru ,NRU,13287,21,632.71,74.04347636,0,0,0,1321,0
Nepal ,NPL,28287147,147181,192.19,88683.81997,132,214296.5682,1115.007576,2049016,43
Netherlands ,NLD,16491461,41526,397.14,41738.91427,968,17036.63326,42.89876033,9905775,0
Netherlands Antilles ,ANT,221736,960,230.98,3340.325093,0,0,0,7956,1
New Caledonia ,NCL,219246,19060,11.5,9838.331991,7,31320.85714,2722.857143,33696,0
New Zealand ,NZL,4076140,268680,15.17,120354.2016,158,25798.35443,1700.506329,437567,0
Nicaragua ,NIC,5570129,129494,43.01,24072.47768,12.4,449203.9516,10443.06452,42356,10
Niger ,NER,12525094,1267000,9.89,63741.59998,15.4,813317.7922,82272.72727,92086,16
Nigeria ,NGA,131859731,923768,142.74,287714.5854,45.7,2885333.282,20213.74179,203261,34
Niue,NIU,1190,260,4.58,242.2397659,0,0,0,1263,0
Norfolk Island,NFK,2210,34.6,63.87,89.88340438,0,0,0,653,0
N. Mariana Islands ,MNP,82459,477,172.87,1082.021454,0,0,0,6289,0
Norway ,NOR,4610820,323802,14.24,151049.9861,381,12101.88976,849.8740157,494534,0
Oman ,OMN,3102229,212460,14.6,53261.91957,0,0,0,12900,0
Pakistan ,PAK,165803560,803940,206.24,145431.9403,28.4,5838153.521,28307.74648,135266,2
Palau ,PLW,20579,458,44.93,374.9338112,0,0,0,505,0
"Palestine, State of",PSE,4550368,6220,731.57,20994.93158,0,0,0,25163,0
Panama ,PAN,3191319,78200,40.81,18107.56944,0,0,0,24038,0
Papua New Guinea ,PNG,5670544,462840,12.25,21097.53774,0,0,0,10619,0
Paraguay ,PRY,6506464,406750,16,84693.39246,19.3,337122.487,21075.12953,21866,1
Peru ,PER,28302603,1285220,22.02,144932.6427,52,544280.8269,24715.76923,79006,7
Philippines ,PHL,89468677,300000,298.23,203643.1208,146,612799.1575,2054.794521,2178018,69
Pitcairn,PCN,56,47,1.19,16.13748109,0,0,0,0,0
Poland ,POL,38536869,312685,123.25,746538.9061,812,47459.19828,385.0800493,7229042,0
Portugal ,PRT,10605870,92391,114.79,232956.6738,127,83510.7874,727.488189,365062,1
Puerto Rico ,PRI,3927188,13790,284.79,0,0,0,0,212545,0
Qatar ,QAT,885359,11437,77.41,14558.20189,0,0,0,7267,0
Reunion ,REU,787584,2517,312.91,6947.211626,0,0,0,444375,0
Romania ,ROU,22303552,237500,93.91,243303.2622,148,150699.6757,1604.72973,689299,0
Russia ,RUS,142893540,17075200,8.37,2511923.71,1843.2,77524.70703,9263.888889,8684566,0
Rwanda ,RWA,8648248,26338,328.36,16539.97799,0,0,0,40086,0
Saint Barth�lemy,BLM,9035,25,361.4,126.7331017,0,0,0,2329,0
Saint Helena ,SHN,7502,413,18.16,170.6029348,0,0,0,1101,0
Saint Kitts & Nevis ,KNA,39129,261,149.92,645.1026933,0,0,0,642,0
Saint Lucia ,LCA,168458,616,273.47,1088.560191,0,0,0,26835,1
Saint Martin (French part),MAF,0,53,0,265.747321,0,0,0,15168,0
St Pierre & Miquelon ,SPM,7026,242,29.03,181.085762,0,0,0,197,0
Saint Vincent and the Grenadines ,VCT,117848,389,302.95,655.7048542,0,0,0,1871,1
Samoa ,WSM,176908,2944,60.09,2478.749283,0,0,0,30612,4
San Marino ,SMR,29251,61,479.52,394.4863644,0,0,0,1383,0
Sao Tome & Principe ,STP,193413,1001,193.22,904.6051609,0,0,0,3218,0
Saudi Arabia ,SAU,27019731,1960582,13.78,189713.6801,0,0,0,38105,0
