country,iso3,population,areaSqKm,popDensity,roadsMappedKm,geofabrikExtract,popPerExtract,areaPerExtract,buildingsMapped,popPerBuilding,numHotTasks
Macedonia ,MKD,2050554,25333,80.94,17937.35617,13.8,148590.8696,1835.724638,16692,122.8465133,0
Madagascar ,MDG,18595469,587040,31.68,60668.417,36.2,513686.989,16216.57459,211481,87.92973837,38
Malawi ,MWI,13013926,118480,109.84,37427.81318,15.9,818485.9119,7451.572327,162013,80.3264306,23
Malaysia ,MYS,24385858,329750,73.95,101146.7194,26.6,916761.5789,12396.61654,16942,1439.373037,1
"Malaysia, Singapore and Brunel",0,29257452,336213,87.02,109325.8394,35.5,824153.5775,9470.788732,69480,421.0917098,0
Maldives ,MDV,359008,300,1196.69,1039.664876,0.93,386030.1075,322.5806452,4691,76.53123001,0
Mali ,MLI,11716829,1240000,9.45,144274.8269,31.2,375539.391,39743.58974,267402,43.81728259,33
Malta ,MLT,400214,316,1266.5,3238.500934,3,133404.6667,105.3333333,714,560.5238095,0
Marshall Islands ,MHL,60422,11854,5.1,264.3234644,0.048828125,1237442.56,242769.92,0,0,0
Martinique ,MTQ,436131,1100,396.48,3558.838909,14.4,30286.875,76.38888889,255106,1.709606987,0
Mauritania ,MRT,3177388,1030700,3.08,18038.27934,4.8,661955.8333,214729.1667,47186,67.33751536,3
Mauritius ,MUS,1240827,2040,608.25,3898.299191,1.7,729898.2353,1200,2174,570.7575897,0
Mayotte ,MYT,201234,374,538.06,799.1306879,2.6,77397.69231,143.8461538,72555,2.773537317,0
Mexico ,MEX,107449525,1972550,54.47,543619.9601,123,873573.374,16036.99187,180371,595.7139729,3
"Micronesia, Fed. St. ",FSM,108004,702,153.85,626.895259,0.390625,276490.24,1797.12,8522,12.67355081,2
Moldova ,MDA,4466706,33843,131.98,49745.78185,22.3,200300.7175,1517.623318,170083,26.26191918,0
Monaco ,MCO,32543,2,16271.5,29.50444309,0.31,104977.4194,6.451612903,1061,30.67200754,0
Mongolia ,MNG,2832224,1564116,1.81,80519.08857,11.9,238002.0168,131438.3193,69279,40.8814215,5
Montenegro,MNE,676872,13812,49.01,15242.8493,13.3,50892.63158,1038.496241,55318,12.23601721,0
Montserrat ,MSR,9439,102,92.54,178.709827,0.146484375,64436.90667,696.32,1929,4.893208917,0
